ClienteID;Cliente;SegmentoCliente;Estado;Genero;FaixaEtaria;DataCadastro
1;Cliente 0001;VIP;SP;F;45-54;2023-08-07
2;Cliente 0002;Risco;RS;M;35-44;2023-01-03
3;Cliente 0003;Recorrente;DF;Nao informado;45-54;2024-03-09
4;Cliente 0004;Novo;PR;F;55+;2023-06-08
5;Cliente 0005;Recorrente;BA;F;18-24;2025-01-23
6;Cliente 0006;Recorrente;DF;F;18-24;2024-08-21
7;Cliente 0007;Novo;MG;F;55+;2024-06-04
8;Cliente 0008;Recorrente;PR;M;18-24;2023-03-11
9;Cliente 0009;Novo;GO;F;55+;2024-08-06
10;Cliente 0010;Recorrente;GO;Nao informado;55+;2023-03-25
11;Cliente 0011;Risco;PR;Nao informado;35-44;2023-11-20
12;Cliente 0012;Novo;MG;Nao informado;35-44;2023-09-02
13;Cliente 0013;Novo;RJ;F;45-54;2024-04-13
14;Cliente 0014;Risco;RJ;F;55+;2024-09-28
15;Cliente 0015;Recorrente;MG;M;18-24;2023-08-07
16;Cliente 0016;Novo;RS;F;45-54;2025-06-19
17;Cliente 0017;Recorrente;RS;Nao informado;55+;2025-05-03
18;Cliente 0018;Recorrente;DF;M;18-24;2023-01-09
19;Cliente 0019;Novo;RJ;F;55+;2025-06-18
20;Cliente 0020;Novo;GO;F;35-44;2023-06-09
21;Cliente 0021;Recorrente;RS;Nao informado;45-54;2023-07-28
22;Cliente 0022;Risco;SP;F;45-54;2023-09-15
23;Cliente 0023;Novo;SP;M;25-34;2025-04-29
24;Cliente 0024;Risco;MG;Nao informado;45-54;2024-10-14
25;Cliente 0025;Recorrente;DF;F;18-24;2024-07-18
26;Cliente 0026;Risco;MG;Nao informado;18-24;2023-03-19
27;Cliente 0027;Recorrente;DF;F;45-54;2025-05-04
28;Cliente 0028;Novo;BA;F;35-44;2023-05-11
29;Cliente 0029;Recorrente;AM;F;35-44;2023-08-04
30;Cliente 0030;Recorrente;PE;Nao informado;25-34;2025-03-09
31;Cliente 0031;VIP;MG;M;18-24;2023-08-31
32;Cliente 0032;Recorrente;BA;M;25-34;2023-07-03
33;Cliente 0033;Novo;RJ;M;18-24;2023-10-01
34;Cliente 0034;Recorrente;PR;M;35-44;2025-05-29
35;Cliente 0035;VIP;PR;F;18-24;2023-11-09
36;Cliente 0036;Novo;BA;M;18-24;2024-11-06
37;Cliente 0037;Novo;AM;Nao informado;45-54;2025-03-02
38;Cliente 0038;Risco;DF;M;18-24;2024-11-26
39;Cliente 0039;VIP;RS;F;55+;2023-04-29
40;Cliente 0040;Novo;GO;M;35-44;2023-09-29
41;Cliente 0041;VIP;PE;Nao informado;55+;2025-01-16
42;Cliente 0042;Recorrente;GO;F;35-44;2023-04-29
43;Cliente 0043;Recorrente;SP;Nao informado;55+;2023-02-15
44;Cliente 0044;Recorrente;AM;F;35-44;2024-12-04
45;Cliente 0045;Novo;AM;M;55+;2024-03-17
