VendedorID;Vendedor;LojaID;Nivel
1;Vendedor 01;3;Senior
2;Vendedor 02;3;Senior
3;Vendedor 03;1;Junior
4;Vendedor 04;5;Senior
5;Vendedor 05;5;Senior
6;Vendedor 06;12;Senior
7;Vendedor 07;5;Pleno
8;Vendedor 08;7;Pleno
9;Vendedor 09;8;Pleno
10;Vendedor 10;4;Pleno
11;Vendedor 11;5;Senior
12;Vendedor 12;9;Senior
13;Vendedor 13;7;Senior
14;Vendedor 14;2;Junior
15;Vendedor 15;9;Senior
16;Vendedor 16;6;Senior
17;Vendedor 17;11;Senior
18;Vendedor 18;10;Pleno
19;Vendedor 19;5;Senior
20;Vendedor 20;2;Pleno
21;Vendedor 21;2;Pleno
22;Vendedor 22;5;Senior
23;Vendedor 23;6;Pleno
24;Vendedor 24;5;Senior
25;Vendedor 25;12;Senior
26;Vendedor 26;5;Junior
27;Vendedor 27;3;Senior
28;Vendedor 28;4;Junior
29;Vendedor 29;10;Pleno
30;Vendedor 30;11;Pleno
31;Vendedor 31;11;Junior
32;Vendedor 32;12;Junior
33;Vendedor 33;11;Pleno
34;Vendedor 34;5;Pleno
35;Vendedor 35;7;Pleno
36;Vendedor 36;7;Senior
37;Vendedor 37;1;Senior
38;Vendedor 38;12;Senior
39;Vendedor 39;4;Pleno
40;Vendedor 40;12;Senior
41;Vendedor 41;4;Senior
42;Vendedor 42;9;Senior
43;Vendedor 43;8;Senior
44;Vendedor 44;6;Senior
45;Vendedor 45;5;Junior
46;Vendedor 46;11;Senior
47;Vendedor 47;3;Pleno
48;Vendedor 48;2;Pleno
