DevolucaoID;VendaItemID;DataDevolucao;Motivo;QuantidadeDevolvida
1;8;2024-06-18;Tamanho;1
2;29;2025-12-23;Arrependimento;1
3;71;2025-07-31;Entrega atrasada;1
4;151;2024-06-07;Arrependimento;1
5;167;2024-09-05;Entrega atrasada;1
6;226;2025-09-09;Tamanho;1
7;235;2024-02-03;Tamanho;1
8;239;2024-03-11;Arrependimento;1
9;247;2024-08-13;Defeito;1
10;261;2025-01-28;Arrependimento;2
11;288;2024-01-16;Defeito;1
12;311;2025-03-28;Tamanho;1
13;316;2025-07-27;Tamanho;1
14;326;2024-10-28;Defeito;2
15;349;2025-09-01;Defeito;2
16;397;2025-12-04;Arrependimento;2
17;443;2025-05-27;Arrependimento;1
18;470;2025-12-19;Arrependimento;2
19;497;2024-05-27;Tamanho;1
20;509;2024-06-13;Tamanho;1
21;531;2025-11-25;Defeito;1
22;585;2025-08-29;Arrependimento;1
23;603;2025-02-26;Arrependimento;1
24;680;2024-08-19;Arrependimento;1
25;716;2025-11-12;Tamanho;1
26;720;2025-12-07;Arrependimento;1
27;727;2024-10-24;Entrega atrasada;1
28;739;2025-11-12;Defeito;1
29;742;2024-07-04;Tamanho;1
30;792;2025-12-26;Defeito;2
31;801;2025-11-17;Tamanho;1
32;815;2024-07-21;Arrependimento;1
33;854;2024-11-19;Tamanho;2
34;859;2025-04-22;Tamanho;1
35;862;2024-10-24;Arrependimento;1
36;876;2025-06-07;Arrependimento;1
37;893;2025-03-12;Tamanho;1
38;903;2024-11-04;Tamanho;1
39;968;2024-08-12;Defeito;1
40;987;2024-04-30;Entrega atrasada;2
41;1077;2024-12-08;Arrependimento;2
42;1086;2024-03-18;Tamanho;1
43;1201;2024-04-22;Defeito;1
44;1305;2024-06-12;Entrega atrasada;1
45;1310;2024-09-27;Arrependimento;1
46;1320;2024-02-07;Entrega atrasada;1
47;1339;2025-01-29;Entrega atrasada;1
48;1347;2024-04-30;Tamanho;1
49;1383;2024-02-10;Entrega atrasada;2
50;1409;2024-12-25;Defeito;1
51;1426;2024-01-28;Defeito;1
52;1431;2025-02-16;Defeito;1
53;1446;2025-09-17;Defeito;2
54;1462;2024-03-20;Entrega atrasada;1
55;1489;2025-12-10;Entrega atrasada;3
56;1524;2025-09-02;Arrependimento;1
57;1543;2024-02-20;Entrega atrasada;1
58;1550;2025-03-16;Defeito;1
59;1620;2025-12-24;Entrega atrasada;1
60;1660;2024-06-07;Entrega atrasada;1
61;1680;2025-02-16;Defeito;2
62;1683;2024-04-21;Defeito;1
63;1697;2025-05-04;Defeito;1
64;1713;2025-06-10;Defeito;1
65;1727;2025-02-16;Defeito;1
66;1741;2024-04-06;Defeito;2
67;1775;2025-12-11;Entrega atrasada;2
68;1781;2025-07-02;Entrega atrasada;1
69;1793;2025-08-31;Arrependimento;1
70;1807;2024-04-08;Entrega atrasada;1
71;1848;2024-06-27;Entrega atrasada;2
72;1874;2025-01-18;Entrega atrasada;1
73;1885;2025-05-09;Arrependimento;1
74;1892;2025-07-11;Arrependimento;1
75;1895;2024-08-27;Defeito;1
76;1958;2025-01-13;Defeito;1
77;1969;2024-09-30;Arrependimento;2
78;2002;2024-07-04;Defeito;1
79;2014;2024-01-16;Arrependimento;2
80;2025;2025-09-22;Arrependimento;2
81;2085;2025-04-02;Tamanho;1
