DataMeta;LojaID;Categoria;MetaReceita;MetaMargem
2024-01-01;1;Eletronicos;6974,00;2555,59
2024-01-01;1;Casa;7734,06;2990,82
2024-01-01;1;Moda;6805,34;2805,34
2024-01-01;1;Beleza;4375,92;1597,92
2024-01-01;1;Esporte;4969,26;1906,16
2024-01-01;2;Eletronicos;4244,16;1746,01
2024-01-01;2;Casa;2792,29;1120,97
2024-01-01;2;Moda;5178,95;1921,34
2024-01-01;2;Beleza;1122,75;482,42
2024-01-01;2;Esporte;2878,36;1192,71
2024-01-01;3;Eletronicos;2431,14;989,00
2024-01-01;3;Casa;1038,22;388,06
2024-01-01;3;Moda;3894,73;1503,42
2024-01-01;3;Beleza;4414,04;1789,28
2024-01-01;3;Esporte;3286,60;1425,44
2024-01-01;4;Eletronicos;4109,96;1532,69
2024-01-01;4;Casa;4022,38;1588,03
2024-01-01;4;Moda;5226,91;2086,79
2024-01-01;4;Beleza;4799,59;1945,01
2024-01-01;4;Esporte;8719,72;3901,77
2024-01-01;5;Eletronicos;2073,37;805,37
2024-01-01;5;Casa;2845,07;1118,72
2024-01-01;5;Moda;4624,01;1903,45
2024-01-01;5;Beleza;1817,91;714,07
2024-01-01;5;Esporte;1915,18;719,60
2024-01-01;6;Eletronicos;2321,95;948,37
2024-01-01;6;Casa;7249,21;3247,91
2024-01-01;6;Moda;7288,40;2867,32
2024-01-01;6;Beleza;1926,11;776,39
2024-01-01;6;Esporte;1579,87;726,73
2024-01-01;7;Eletronicos;1204,87;441,42
2024-01-01;7;Casa;2616,39;1084,62
2024-01-01;7;Moda;4043,52;1574,34
2024-01-01;7;Beleza;1304,55;536,97
2024-01-01;7;Esporte;795,86;315,91
2024-01-01;8;Eletronicos;3782,88;1522,37
2024-01-01;8;Casa;2269,19;911,43
2024-01-01;8;Moda;8407,23;3293,01
2024-01-01;8;Beleza;3633,41;1420,94
2024-01-01;8;Esporte;771,20;291,53
2024-01-01;9;Eletronicos;1112,17;510,80
2024-01-01;9;Casa;3825,12;1723,94
2024-01-01;9;Moda;1484,20;612,99
2024-01-01;9;Beleza;4715,34;2059,98
2024-01-01;9;Esporte;2935,67;1322,15
2024-01-01;10;Eletronicos;1786,81;789,97
2024-01-01;10;Casa;2860,66;1238,20
2024-01-01;10;Moda;3418,67;1367,69
2024-01-01;10;Beleza;4016,23;1532,73
2024-01-01;10;Esporte;3973,00;1481,76
2024-01-01;11;Eletronicos;8051,21;3441,78
2024-01-01;11;Casa;8408,00;3589,85
2024-01-01;11;Moda;4011,34;1530,24
2024-01-01;11;Beleza;8074,83;3302,19
2024-01-01;11;Esporte;4869,89;2058,27
2024-01-01;12;Eletronicos;6647,91;2915,76
2024-01-01;12;Casa;4887,65;1905,40
2024-01-01;12;Moda;1794,06;691,98
2024-01-01;12;Beleza;4209,80;1530,87
2024-01-01;12;Esporte;1870,03;780,83
2024-02-01;1;Eletronicos;2024,31;888,84
2024-02-01;1;Casa;3078,65;1382,06
2024-02-01;1;Moda;1775,47;753,16
2024-02-01;1;Beleza;1276,28;584,88
2024-02-01;1;Esporte;2718,08;1243,88
2024-02-01;2;Eletronicos;1177,71;499,61
2024-02-01;2;Casa;3666,31;1422,81
2024-02-01;2;Moda;1720,24;756,21
2024-02-01;2;Beleza;2761,15;1117,91
2024-02-01;2;Esporte;3124,46;1165,29
2024-02-01;3;Eletronicos;2675,52;1218,67
2024-02-01;3;Casa;1406,91;542,05
2024-02-01;3;Moda;8342,26;3097,53
2024-02-01;3;Beleza;1467,45;528,44
2024-02-01;3;Esporte;3313,95;1442,19
2024-02-01;4;Eletronicos;2825,20;1241,54
2024-02-01;4;Casa;1722,23;666,32
2024-02-01;4;Moda;3013,88;1237,41
