VendaItemID;PedidoID;Data;ClienteID;ProdutoID;LojaID;VendedorID;CanalVenda;FormaPagamento;Quantidade;PrecoUnitario;CustoUnitario;PercentualDesconto;ValorBruto;ValorDesconto;ValorLiquido;CustoTotal
1;10001;2024-05-11;265;43;12;25;E-commerce;Cartao Credito;2;564,99;284,00;0;1129,98;0,00;1129,98;568,00
2;10001;2024-05-11;265;40;12;25;E-commerce;Cartao Credito;1;347,83;257,00;0;347,83;0,00;347,83;257,00
3;10002;2025-04-19;482;61;2;14;Loja Fisica;Cartao Credito;3;276,33;194,00;0,08;828,99;66,32;762,67;582,00
4;10002;2025-04-19;482;68;2;14;Loja Fisica;Cartao Debito;1;106,02;75,00;0;106,02;0,00;106,02;75,00
5;10003;2024-07-24;420;19;6;23;Marketplace;Cartao Credito;1;335,99;161,00;0,10;335,99;33,60;302,39;161,00
6;10003;2024-07-24;420;43;6;23;Marketplace;Cartao Credito;2;564,99;284,00;0;1129,98;0,00;1129,98;568,00
7;10003;2024-07-24;420;58;6;23;Marketplace;Boleto;1;490,22;308,00;0,15;490,22;73,53;416,69;308,00
8;10004;2024-06-11;782;55;8;43;E-commerce;Cartao Credito;1;390,96;216,00;0,05;390,96;19,55;371,41;216,00
9;10005;2024-11-25;196;32;9;42;Loja Fisica;Cartao Credito;1;532,43;285,00;0;532,43;0,00;532,43;285,00
10;10006;2025-05-30;314;38;10;29;Loja Fisica;Pix;1;639,39;299,00;0,08;639,39;51,15;588,24;299,00
11;10006;2025-05-30;314;18;10;29;Loja Fisica;Cartao Credito;1;187,78;108,00;0,05;187,78;9,39;178,39;108,00
12;10007;2025-02-17;234;3;1;3;Loja Fisica;Cartao Credito;1;270,81;144,00;0;270,81;0,00;270,81;144,00
13;10007;2025-02-17;234;5;1;3;Loja Fisica;Cartao Credito;1;377,97;239,00;0,10;377,97;37,80;340,17;239,00
14;10007;2025-02-17;234;7;1;3;Loja Fisica;Pix;1;220,80;106,00;0;220,80;0,00;220,80;106,00
15;10007;2025-02-17;234;3;1;3;Loja Fisica;Cartao Credito;1;270,81;144,00;0;270,81;0,00;270,81;144,00
16;10008;2025-07-14;486;39;5;4;E-commerce;Pix;1;135,97;82,00;0;135,97;0,00;135,97;82,00
17;10009;2025-09-12;141;16;12;40;Loja Fisica;Cartao Credito;1;146,13;65,00;0,15;146,13;21,92;124,21;65,00
18;10009;2025-09-12;141;26;12;40;Loja Fisica;Pix;2;292,63;186,00;0,15;585,26;87,79;497,47;372,00
19;10009;2025-09-12;141;53;12;40;Loja Fisica;Pix;1;569,38;241,00;0;569,38;0,00;569,38;241,00
20;10010;2025-12-05;339;15;8;9;Loja Fisica;Pix;2;98,13;48,00;0,10;196,26;19,63;176,63;96,00
21;10011;2025-06-07;741;59;2;20;E-commerce;Cartao Credito;4;39,89;28,00;0;159,56;0,00;159,56;112,00
22;10011;2025-06-07;741;23;2;20;E-commerce;Cartao Credito;3;84,30;53,00;0,15;252,90;37,93;214,96;159,00
23;10011;2025-06-07;741;41;2;20;E-commerce;Cartao Credito;1;604,17;281,00;0;604,17;0,00;604,17;281,00
24;10012;2024-02-16;142;57;1;37;E-commerce;Cartao Debito;3;97,18;57,00;0;291,54;0,00;291,54;171,00
25;10013;2024-12-16;117;50;3;27;Loja Fisica;Boleto;2;142,61;60,00;0,05;285,22;14,26;270,96;120,00
26;10013;2024-12-16;117;22;3;27;Loja Fisica;Pix;1;489,98;310,00;0,10;489,98;49,00;440,98;310,00
27;10013;2024-12-16;117;21;3;27;Loja Fisica;Pix;1;198,22;108,00;0,08;198,22;15,86;182,36;108,00
28;10013;2024-12-16;117;57;3;27;Loja Fisica;Boleto;1;97,18;57,00;0,05;97,18;4,86;92,32;57,00
29;10014;2025-12-01;134;57;12;38;Loja Fisica;Pix;1;97,18;57,00;0;97,18;0,00;97,18;57,00
30;10015;2025-06-15;705;32;9;42;E-commerce;Pix;1;532,43;285,00;0,10;532,43;53,24;479,19;285,00
31;10016;2025-07-25;56;64;10;29;Loja Fisica;Pix;2;590,82;320,00;0;1181,64;0,00;1181,64;640,00
32;10016;2025-07-25;56;43;10;29;Loja Fisica;Pix;4;564,99;284,00;0;2259,96;0,00;2259,96;1136,00
33;10016;2025-07-25;56;49;10;29;Loja Fisica;Cartao Credito;1;93,60;65,00;0;93,60;0,00;93,60;65,00
34;10017;2025-08-09;91;64;8;9;E-commerce;Cartao Credito;2;590,82;320,00;0;1181,64;0,00;1181,64;640,00
35;10018;2025-07-24;1;39;9;42;E-commerce;Cartao Credito;3;135,97;82,00;0,08;407,91;32,63;375,28;246,00
36;10018;2025-07-24;1;44;9;42;E-commerce;Boleto;1;464,54;216,00;0;464,54;0,00;464,54;216,00
37;10019;2024-12-05;786;47;9;42;E-commerce;Cartao Credito;2;477,26;210,00;0;954,52;0,00;954,52;420,00
38;10020;2024-01-03;364;71;6;23;E-commerce;Cartao Credito;1;193,81;118,00;0,10;193,81;19,38;174,43;118,00
39;10020;2024-01-03;364;64;6;23;E-commerce;Pix;1;590,82;320,00;0,10;590,82;59,08;531,74;320,00
40;10020;2024-01-03;364;33;6;23;E-commerce;Cartao Credito;1;122,35;81,00;0;122,35;0,00;122,35;81,00
41;10020;2024-01-03;364;28;6;23;E-commerce;Cartao Credito;1;159,56;98,00;0,15;159,56;23,93;135,63;98,00
42;10021;2025-02-28;649;59;1;37;E-commerce;Cartao Credito;2;39,89;28,00;0,08;79,78;6,38;73,40;56,00
43;10021;2025-02-28;649;68;1;37;E-commerce;Cartao Debito;2;106,02;75,00;0,08;212,04;16,96;195,08;150,00
44;10022;2025-05-09;800;23;9;42;Marketplace;Cartao Credito;2;84,30;53,00;0;168,60;0,00;168,60;106,00
45;10023;2025-09-12;517;32;6;44;Marketplace;Cartao Debito;1;532,43;285,00;0;532,43;0,00;532,43;285,00
46;10024;2024-05-16;423;71;3;27;E-commerce;Pix;2;193,81;118,00;0,10;387,62;38,76;348,86;236,00
47;10024;2024-05-16;423;28;3;27;E-commerce;Pix;1;159,56;98,00;0,08;159,56;12,76;146,80;98,00
48;10024;2024-05-16;423;17;3;27;E-commerce;Cartao Debito;4;359,57;219,00;0,10;1438,28;143,83;1294,45;876,00
49;10025;2025-07-09;653;72;12;32;Loja Fisica;Cartao Debito;1;114,36;63,00;0,08;114,36;9,15;105,21;63,00
50;10026;2025-11-21;547;67;12;6;Loja Fisica;Cartao Credito;1;595,86;264,00;0,05;595,86;29,79;566,07;264,00
51;10026;2025-11-21;547;26;12;6;Loja Fisica;Cartao Credito;1;292,63;186,00;0,15;292,63;43,89;248,74;186,00
52;10026;2025-11-21;547;33;12;6;Loja Fisica;Pix;1;122,35;81,00;0;122,35;0,00;122,35;81,00
53;10027;2025-07-08;368;72;1;3;E-commerce;Boleto;1;114,36;63,00;0,08;114,36;9,15;105,21;63,00
54;10028;2024-10-21;681;41;12;38;Loja Fisica;Cartao Credito;3;604,17;281,00;0;1812,51;0,00;1812,51;843,00
55;10029;2025-09-27;231;70;8;43;Marketplace;Boleto;2;544,49;299,00;0;1088,98;0,00;1088,98;598,00
56;10029;2025-09-27;231;38;8;43;Marketplace;Cartao Credito;1;639,39;299,00;0,10;639,39;63,94;575,45;299,00
57;10030;2025-06-10;387;17;2;21;Loja Fisica;Cartao Credito;1;359,57;219,00;0,15;359,57;53,94;305,63;219,00
58;10031;2025-12-27;41;39;3;1;Loja Fisica;Pix;1;135,97;82,00;0,08;135,97;10,88;125,09;82,00
59;10032;2025-12-25;539;65;6;16;Loja Fisica;Pix;1;361,13;233,00;0,08;361,13;28,89;332,24;233,00
60;10033;2024-08-14;680;68;4;28;Loja Fisica;Boleto;1;106,02;75,00;0,08;106,02;8,48;97,54;75,00
